categorie;type;nom;poids;prix_par_kg;prix;promo
Épicerie sucrée;Cafés et boissons chaudes;CAFE ROYAL Lungo Forte - 36 Capsules Aluminium - Intensité 8 - Café;Capsules Aluminium ;40,35€/KG;7,99€;non
Épicerie sucrée;Cafés et boissons chaudes;CAFE ROYAL Lungo forte - Café - 18 capsules - Intensité 8;x18 ;40,30€/KG;3,99€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE DOLCE GUSTO Lungo Intenso - 16 Capsules - Intensité 9 - Premium Arabica et Robusta - Café;x16 ;30€/KG;4,32€;non
Épicerie sucrée;Cafés et boissons chaudes;L'OR Lungo profondo - Café - 40 capsules;208g ;52,84€/KG;10,99€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE DOLCE GUSTO Marrakech Tea - Thé - 16 capsules;x16 ;48,07€/KG;3,99€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO Maxwell House - Macchiato Caramel - 16 Dosettes Rigides - Café;Dosettes Rigides ;16,87€/KG;4,52€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO Milka - Chocolat - 8 Dosettes;240g ;15,25€/KG;3,66€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE DOLCE GUSTO Nesquik - Chocolat - 16 Capsules;x16 ;14,41€/KG;3,69€;non
Épicerie sucrée;Cafés et boissons chaudes;CARTE NOIRE Petit Déjeuner - 16 Capsules Plastique - Intensité 4 - 100% Arabica - Café;Capsules Plastique ;27,34€/KG;3,50€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO Petit dejeuner classique - café - 21 dosettes;168g ;29,46€/KG;4,95€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Pur Arabica - 10 Capsules Plastique - Intensité 6 - Café;Capsules Plastique ;42,12€/KG;2,19€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Pur Arabica - 16 Dosettes Rigides - Puissant et Fruité;Dosettes Rigides ;42,21€/KG;4,39€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Pur Arabica - 20 Capsules Plastique - Intensité 6 - Café;Capsules Plastique ;42,21€/KG;4,39€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE DOLCE GUSTO Ricoré - Latte - Chicorée et Café au Lait - 16 Capsules;x16 ;23,04€/KG;3,87€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Ristretto - 10 Capsules Plastique - Intensité 9 - Café;Capsules Plastique ;40,38€/KG;2,10€;non
Épicerie sucrée;Cafés et boissons chaudes;CAFE ROYAL Ristretto - 36 Capsules Aluminium - Intensité 9 - Café;Capsules Aluminium ;44,47€/KG;8,45€;non
Épicerie sucrée;Cafés et boissons chaudes;LEGAL Ristretto - Café - 10 capsules végétales - intensité 11;;46,60€/KG;2,33€;non
Épicerie sucrée;Cafés et boissons chaudes;CAFE ROYAL Ristretto - Café - 18 capsules - Intensité 9;x18 ;42€/KG;3,99€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Ristretto - Café - Capsules - x44 - Intensité 9;230g ;30,66€/KG;6,99€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO Suchard - Chocolat et Café - 16 Dosettes Rigides;Dosettes Rigides ;12,47€/KG;3,99€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO tassimo cafe long classique cafe en dosettes x 21 (no 5) - 141 gr;;41,84€/KG;5,90€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO tassimo espresso classique cafe en dosettes x 21 - 126 gr;;46,83€/KG;5,90€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO Tea Time - Thé Vert et Menthe - 16 Dosettes;40g ;89€/KG;3,56€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO BIO Afrique - Café - Dosettes - Biologique;x18 ;22€/KG;2,75€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO BIO Café Amérique latine - Fin et acidulé - Dosettes - Biologique;x18 ;18,40€/KG;2,30€;non
Épicerie sucrée;Cafés et boissons chaudes;DOLCE GUSTO Café au lait - 30 capsules;300g;6,82€;6,82€;non
Épicerie sucrée;Cafés et boissons chaudes;SENSEO Café en capsules - Espresso N7;x10 ;46,73€/KG;2,43€;non
Épicerie sucrée;Cafés et boissons chaudes;SENSEO Café en capsules - Lungo N6;x10 ;46,54€/KG;2,42€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE DOLCE GUSTO Espresso - Café - 16 capsules - Intensité 5;x16 ;42,05€/KG;3,70€;non
Épicerie sucrée;Cafés et boissons chaudes;LIPTON Thé vert marrakech mint - Capsules;x12 ;138,33€/KG;4,15€;non
Épicerie sucrée;Cafés et boissons chaudes;ALTER ECO Café - Pur Arabica Pérou - Biologique;260g ;14,35€/KG;3,73€;non
Épicerie sucrée;Cafés et boissons chaudes;ETHIQUABLE Café Grains - Arabica - Intensité 2 - Origine Pérou - Biologique;1kg ;13,35€/KG;13,35€;non
Épicerie sucrée;Cafés et boissons chaudes;NATURELA Café instantanné - Arabica - Biologique;100g ;48,10€/KG;4,81€;non
Épicerie sucrée;Cafés et boissons chaudes;ETHIQUABLE Café moulu - Arabica - Biologique;250g ;13,84€/KG;3,46€;non
Épicerie sucrée;Cafés et boissons chaudes;ETHIQUABLE Café moulu - Décaféiné - Biologique;250g ;17,52€/KG;4,38€;non
Épicerie sucrée;Cafés et boissons chaudes;ALTER ECO Café moulu - Pur arabica Ethiopie - Commerce équitable - Biologique;260g ;15€/KG;3,90€;non
Épicerie sucrée;Cafés et boissons chaudes;ETHIQUABLE Café moulu origine Equateur - Biologique;250g ;13€/KG;3,25€;non
Épicerie sucrée;Cafés et boissons chaudes;ETHIQUABLE Café moulu origine Pérou - Biologique;250g ;13,48€/KG;3,37€;non
