;;;;Chalamont;Chalamont;CONFRANCON;CONFRANCON;Cusset;Cusset;Divonne-Les-Bains;Divonne-Les-Bains;Domerat;Domerat;OYONNAX Arbent;OYONNAX Arbent;Saint-Galmier;Saint-Galmier;Vichy;Vichy
;;;;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split
categorie;type;nom;poids;;;;;;;;;;;;;;;;
Fruits et légumes;Fruits; lentilles blondes - biologique - vrac;De 400g à 500g ;;;;;;;;;;;;;3.25;[' lentilles blondes - biologique - vrac'];;
Fruits et légumes;Fruits; lentilles corail - biologique - vrac;De 400g à 500g ;;;;;;;;;;;2.35;[' lentilles corail - biologique - vrac'];2.35;[' lentilles corail - biologique - vrac'];;
Fruits et légumes;Fruits; mandarine nadorcott - ;De 800g à 1kg ;3.99;[' mandarine nadorcott - ', '. 1'];3.99;[' mandarine nadorcott - ', '. 1'];3.99;[' mandarine nadorcott - ', '. 1'];3.99;[' mandarine nadorcott - ', '. 1'];4.49;[' mandarine nadorcott - ', '. 1'];3.99;[' mandarine nadorcott - ', '. 1'];3.99;[' mandarine nadorcott - ', '. 1'];;
Fruits et légumes;Fruits; mandarines feuilles - variété clémenules - ;De 800g à 1kg ;3.49;[' mandarines feuilles - variété clémenules - ', '. 1'];;;;;3.49;[' mandarines feuilles - variété clémenules - ', '. 1'];;;3.49;[' mandarines feuilles - variété clémenules - ', '. 1'];3.49;[' mandarines feuilles - variété clémenules - ', '. 1'];4.79;[' mandarines feuilles - variété clémenules - ', '. 1']
Fruits et légumes;Fruits; mandarines nadorcott - ;1,5kg ;4.49;[' mandarines nadorcott - ', '.1'];;;4.49;[' mandarines nadorcott - ', '.1'];;;4.79;[' mandarines nadorcott - ', '.1'];4.49;[' mandarines nadorcott - ', '.1'];4.49;[' mandarines nadorcott - ', '.1'];;
Fruits et légumes;Fruits; mandarines à jus - variété ortanique - ;2kg ;;;4.69;[' mandarines à jus - variété ortanique - ', '. 1'];4.69;[' mandarines à jus - variété ortanique - ', '. 1'];;;;;4.69;[' mandarines à jus - variété ortanique - ', '. 1'];4.69;[' mandarines à jus - variété ortanique - ', '. 1'];;
Fruits et légumes;Fruits; mangue - ;La pièce;1.49;[' mangue - ', '. 1'];1.49;[' mangue - ', '. 1'];1.49;[' mangue - ', '. 1'];1.49;[' mangue - ', '. 1'];;;1.49;[' mangue - ', '. 1'];1.49;[' mangue - ', '. 1'];2.29;[' mangue - ', '. 1']
Fruits et légumes;Fruits; marrons cuits;400g ;;;;;;;5.99;[' marrons cuits'];;;;;;;;
Fruits et légumes;Fruits; melon charentais vert - ;La pièce;;;1.79;[' melon charentais vert - ', '. 1'];1.79;[' melon charentais vert - ', '. 1'];1.79;[' melon charentais vert - ', '. 1'];1.99;[' melon charentais vert - ', '. 1'];1.79;[' melon charentais vert - ', '. 1'];1.79;[' melon charentais vert - ', '. 1'];;
Fruits et légumes;Fruits; muesli chocolat noir - biologique - vrac;De 400g à 500g ;;;;;;;;;;;4.95;[' muesli chocolat noir - biologique - vrac'];4.95;[' muesli chocolat noir - biologique - vrac'];;
Fruits et légumes;Fruits; muesli du verger - biologique - vrac;De 400g à 500g ;;;;;;;;;;;4.95;[' muesli du verger - biologique - vrac'];;;;
