;;;;Chalamont;Chalamont;CONFRANCON;CONFRANCON;Cusset;Cusset;Divonne-Les-Bains;Divonne-Les-Bains;Domerat;Domerat;OYONNAX Arbent;OYONNAX Arbent;Saint-Galmier;Saint-Galmier;Vichy;Vichy
;;;;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split
categorie;type;nom;poids;;;;;;;;;;;;;;;;
Épicerie sucrée;Cafés et boissons chaudes;pages infusion - verveine menthe - 20 sachets - biologique;30g ;;;;;;;;;;;;;2.56;['pages infusion - verveine menthe - 20 sachets - biologique'];;
Épicerie sucrée;Cafés et boissons chaudes;pages thé noir - earl grey - 20 sachets - biologique;36g ;;;;;;;;;;;;;2.34;['pages thé noir - earl grey - 20 sachets - biologique'];;
Épicerie sucrée;Cafés et boissons chaudes;pages thé noir - english breakfast - 20 sachets - biologique;36g ;;;;;;;;;;;;;2.46;['pages thé noir - english breakfast - 20 sachets - biologique'];;
Épicerie sucrée;Cafés et boissons chaudes;pages thé vert - citron citron vert - 20 sachets - biologique;36g ;;;;;;;;;;;;;2.31;['pages thé vert - citron citron vert - 20 sachets - biologique'];;
Épicerie sucrée;Cafés et boissons chaudes;pages thé vert - menthe - 20 sachets - biologique;36g ;;;;;;;;;;;;;2.33;['pages thé vert - menthe - 20 sachets - biologique'];;
Épicerie sucrée;Cafés et boissons chaudes;paquet de 250g de café bio moulu 100m arabica, origine agriculture biologique.;x 1;19.65;['paquet de 250g de café bio moulu 100m arabica, origine agriculture biologique.'];19.65;['paquet de 250g de café bio moulu 100m arabica, origine agriculture biologique.'];19.65;['paquet de 250g de café bio moulu 100m arabica, origine agriculture biologique.'];19.65;['paquet de 250g de café bio moulu 100m arabica, origine agriculture biologique.'];;;19.65;['paquet de 250g de café bio moulu 100m arabica, origine agriculture biologique.'];19.65;['paquet de 250g de café bio moulu 100m arabica, origine agriculture biologique.'];;
Épicerie sucrée;Cafés et boissons chaudes;passiflore plante sachet 40gr;x 1;3.17;['passiflore plante sachet 40gr'];3.17;['passiflore plante sachet 40gr'];3.17;['passiflore plante sachet 40gr'];3.17;['passiflore plante sachet 40gr'];;;3.17;['passiflore plante sachet 40gr'];3.17;['passiflore plante sachet 40gr'];;
Épicerie sucrée;Cafés et boissons chaudes;pissenlit racines sachet 50gr;x 1;4.28;['pissenlit racines sachet 50gr'];4.28;['pissenlit racines sachet 50gr'];4.28;['pissenlit racines sachet 50gr'];4.28;['pissenlit racines sachet 50gr'];;;4.28;['pissenlit racines sachet 50gr'];4.28;['pissenlit racines sachet 50gr'];;
Épicerie sucrée;Cafés et boissons chaudes;poudre de moringa 80gr;x 1;7.13;['poudre de moringa 80gr'];7.13;['poudre de moringa 80gr'];7.13;['poudre de moringa 80gr'];7.13;['poudre de moringa 80gr'];;;7.13;['poudre de moringa 80gr'];7.13;['poudre de moringa 80gr'];;
Épicerie sucrée;Cafés et boissons chaudes;poulain cacao - super poulain - 4 vitamines;1kg ;;;;;;;;;;;3.16;['poulain cacao - super poulain - 4 vitamines'];;;;
Épicerie sucrée;Cafés et boissons chaudes;poulain chocolat en poudre - 34% de cacaco - biologique;350g ;;;;;;;2.91;['poulain chocolat en poudre - 34% de cacaco - biologique'];;;2.91;['poulain chocolat en poudre - 34% de cacaco - biologique'];2.91;['poulain chocolat en poudre - 34% de cacaco - biologique'];;
Épicerie sucrée;Cafés et boissons chaudes;poulain grand arôme - cacao - teneur en sucre réduite;400g ;;;;;;;2.89;['poulain grand arôme - cacao - teneur en sucre réduite'];;;2.89;['poulain grand arôme - cacao - teneur en sucre réduite'];2.89;['poulain grand arôme - cacao - teneur en sucre réduite'];3.69;['poulain grand arôme - cacao - teneur en sucre réduite']
Épicerie sucrée;Cafés et boissons chaudes;poulain grand arôme - chocolat en poudre;250g ;1.1;['poulain grand arôme - chocolat en poudre'];1.1;['poulain grand arôme - chocolat en poudre'];1.1;['poulain grand arôme - chocolat en poudre'];1.1;['poulain grand arôme - chocolat en poudre'];1.48;['poulain grand arôme - chocolat en poudre'];1.1;['poulain grand arôme - chocolat en poudre'];1.1;['poulain grand arôme - chocolat en poudre'];1.5;['poulain grand arôme - chocolat en poudre']
Épicerie sucrée;Cafés et boissons chaudes;poulain grand arôme - chocolat en poudre;450g ;1.89;['poulain grand arôme - chocolat en poudre'];1.89;['poulain grand arôme - chocolat en poudre'];1.89;['poulain grand arôme - chocolat en poudre'];1.89;['poulain grand arôme - chocolat en poudre'];2.33;['poulain grand arôme - chocolat en poudre'];1.89;['poulain grand arôme - chocolat en poudre'];1.89;['poulain grand arôme - chocolat en poudre'];2.26;['poulain grand arôme - chocolat en poudre']
Épicerie sucrée;Cafés et boissons chaudes;poulain grand arôme - chocolat en poudre;800g ;2.93;['poulain grand arôme - chocolat en poudre'];2.93;['poulain grand arôme - chocolat en poudre'];2.93;['poulain grand arôme - chocolat en poudre'];2.93;['poulain grand arôme - chocolat en poudre'];;;;;2.93;['poulain grand arôme - chocolat en poudre'];;
Épicerie sucrée;Cafés et boissons chaudes;poulain recharge - poudre cacaotée grand arome;450g ;;;;;;;1.79;['poulain recharge - poudre cacaotée grand arome'];;;1.79;['poulain recharge - poudre cacaotée grand arome'];1.79;['poulain recharge - poudre cacaotée grand arome'];2.64;['poulain recharge - poudre cacaotée grand arome']
Épicerie sucrée;Cafés et boissons chaudes;qiilu boîte à café seau à café antidérapant pour café knock box avec barre en caoutchouc accessoires de fabri;x 1;0.0;['qiilu boîte à café seau à café antidérapant pour café knock box avec barre en caoutchouc accessoires de fabri', 'ion de café'];0.0;['qiilu boîte à café seau à café antidérapant pour café knock box avec barre en caoutchouc accessoires de fabri', 'ion de café'];0.0;['qiilu boîte à café seau à café antidérapant pour café knock box avec barre en caoutchouc accessoires de fabri', 'ion de café'];0.0;['qiilu boîte à café seau à café antidérapant pour café knock box avec barre en caoutchouc accessoires de fabri', 'ion de café'];;;0.0;['qiilu boîte à café seau à café antidérapant pour café knock box avec barre en caoutchouc accessoires de fabri', 'ion de café'];0.0;['qiilu boîte à café seau à café antidérapant pour café knock box avec barre en caoutchouc accessoires de fabri', 'ion de café'];;
Épicerie sucrée;Cafés et boissons chaudes;qiilu disques abrasifs 100pcs papier de verre disque papier abrasif rond 125mm 5po de dos en velours pour polissage meulage(1500;x 1;0.0;['qiilu disques abrasifs 100pcs papier de verre disque papier abrasif rond 125mm 5po de dos en velours pour polissage meulage(1500'];0.0;['qiilu disques abrasifs 100pcs papier de verre disque papier abrasif rond 125mm 5po de dos en velours pour polissage meulage(1500'];0.0;['qiilu disques abrasifs 100pcs papier de verre disque papier abrasif rond 125mm 5po de dos en velours pour polissage meulage(1500'];0.0;['qiilu disques abrasifs 100pcs papier de verre disque papier abrasif rond 125mm 5po de dos en velours pour polissage meulage(1500'];;;0.0;['qiilu disques abrasifs 100pcs papier de verre disque papier abrasif rond 125mm 5po de dos en velours pour polissage meulage(1500'];0.0;['qiilu disques abrasifs 100pcs papier de verre disque papier abrasif rond 125mm 5po de dos en velours pour polissage meulage(1500'];;
Épicerie sucrée;Cafés et boissons chaudes;qiilu disques abrasifs 100pcs papier de verre disque papier abrasif rond 125mm 5po de dos en velours pour polissage meulage(2000;x 1;0.0;['qiilu disques abrasifs 100pcs papier de verre disque papier abrasif rond 125mm 5po de dos en velours pour polissage meulage(2000'];0.0;['qiilu disques abrasifs 100pcs papier de verre disque papier abrasif rond 125mm 5po de dos en velours pour polissage meulage(2000'];0.0;['qiilu disques abrasifs 100pcs papier de verre disque papier abrasif rond 125mm 5po de dos en velours pour polissage meulage(2000'];0.0;['qiilu disques abrasifs 100pcs papier de verre disque papier abrasif rond 125mm 5po de dos en velours pour polissage meulage(2000'];;;0.0;['qiilu disques abrasifs 100pcs papier de verre disque papier abrasif rond 125mm 5po de dos en velours pour polissage meulage(2000'];0.0;['qiilu disques abrasifs 100pcs papier de verre disque papier abrasif rond 125mm 5po de dos en velours pour polissage meulage(2000'];;
Épicerie sucrée;Cafés et boissons chaudes;qiilu filtre à café kit de filtre rechargeable de tasse de capsule de café réutilisable de 3 pièces pour dolce gusto;x 1;0.0;['qiilu filtre à café kit de filtre rechargeable de tasse de capsule de café réutilisable de 3 pièces pour dolce gusto'];0.0;['qiilu filtre à café kit de filtre rechargeable de tasse de capsule de café réutilisable de 3 pièces pour dolce gusto'];0.0;['qiilu filtre à café kit de filtre rechargeable de tasse de capsule de café réutilisable de 3 pièces pour dolce gusto'];0.0;['qiilu filtre à café kit de filtre rechargeable de tasse de capsule de café réutilisable de 3 pièces pour dolce gusto'];;;0.0;['qiilu filtre à café kit de filtre rechargeable de tasse de capsule de café réutilisable de 3 pièces pour dolce gusto'];0.0;['qiilu filtre à café kit de filtre rechargeable de tasse de capsule de café réutilisable de 3 pièces pour dolce gusto'];;
Épicerie sucrée;Cafés et boissons chaudes;"quai sud - coffret de thés aromatisés ""les péchés capitaux"" multicolore";x 1;30.94;"['quai sud - coffret de thés aromatisés ""les péchés capitaux"" multicolore']";30.94;"['quai sud - coffret de thés aromatisés ""les péchés capitaux"" multicolore']";30.94;"['quai sud - coffret de thés aromatisés ""les péchés capitaux"" multicolore']";30.94;"['quai sud - coffret de thés aromatisés ""les péchés capitaux"" multicolore']";;;30.94;"['quai sud - coffret de thés aromatisés ""les péchés capitaux"" multicolore']";30.94;"['quai sud - coffret de thés aromatisés ""les péchés capitaux"" multicolore']";;
Épicerie sucrée;Cafés et boissons chaudes;racines bio - fleurs de bissap bio rouge 50gr;x 1;1.73;['racines bio - fleurs de bissap bio rouge 50gr'];1.73;['racines bio - fleurs de bissap bio rouge 50gr'];1.73;['racines bio - fleurs de bissap bio rouge 50gr'];1.73;['racines bio - fleurs de bissap bio rouge 50gr'];;;1.73;['racines bio - fleurs de bissap bio rouge 50gr'];1.73;['racines bio - fleurs de bissap bio rouge 50gr'];;
Épicerie sucrée;Cafés et boissons chaudes;racines bio - rooibos bio fruits rouges (20 sach. x 1.8gr);x 1;2.79;['racines bio - rooibos bio fruits rouges (20 sach. x 1.8gr)'];2.79;['racines bio - rooibos bio fruits rouges (20 sach. x 1.8gr)'];2.79;['racines bio - rooibos bio fruits rouges (20 sach. x 1.8gr)'];2.79;['racines bio - rooibos bio fruits rouges (20 sach. x 1.8gr)'];;;2.79;['racines bio - rooibos bio fruits rouges (20 sach. x 1.8gr)'];2.79;['racines bio - rooibos bio fruits rouges (20 sach. x 1.8gr)'];;
Épicerie sucrée;Cafés et boissons chaudes;ras d'amhara café en grains;Café en Grains ;9.3;"[""ras d'amhara café en grains""]";9.3;"[""ras d'amhara café en grains""]";;;9.3;"[""ras d'amhara café en grains""]";;;;;;;;
Épicerie sucrée;Cafés et boissons chaudes;reine des prés fleurs sachet 25gr;x 1;3.78;['reine des prés fleurs sachet 25gr'];3.78;['reine des prés fleurs sachet 25gr'];3.78;['reine des prés fleurs sachet 25gr'];3.78;['reine des prés fleurs sachet 25gr'];;;3.78;['reine des prés fleurs sachet 25gr'];3.78;['reine des prés fleurs sachet 25gr'];;
Épicerie sucrée;Cafés et boissons chaudes;ricola infuselle - aux 5 plantes - préparation pour boisson instantanée;200g ;3.26;['ricola infuselle - aux 5 plantes - préparation pour boisson instantanée'];;;;;3.26;['ricola infuselle - aux 5 plantes - préparation pour boisson instantanée'];4.07;['ricola infuselle - aux 5 plantes - préparation pour boisson instantanée'];3.26;['ricola infuselle - aux 5 plantes - préparation pour boisson instantanée'];3.26;['ricola infuselle - aux 5 plantes - préparation pour boisson instantanée'];4.2;['ricola infuselle - aux 5 plantes - préparation pour boisson instantanée']
Épicerie sucrée;Cafés et boissons chaudes;ricola infuselle - bonne nuit - préparation pour boisson instantanée;200g ;3.18;['ricola infuselle - bonne nuit - préparation pour boisson instantanée'];;;;;3.18;['ricola infuselle - bonne nuit - préparation pour boisson instantanée'];4.01;['ricola infuselle - bonne nuit - préparation pour boisson instantanée'];3.18;['ricola infuselle - bonne nuit - préparation pour boisson instantanée'];3.18;['ricola infuselle - bonne nuit - préparation pour boisson instantanée'];4.15;['ricola infuselle - bonne nuit - préparation pour boisson instantanée']
Épicerie sucrée;Cafés et boissons chaudes;ricore au lait - chicorée et café - soluble - boite;400g ;4.35;['ricore au lait - chicorée et café - soluble - boite'];4.35;['ricore au lait - chicorée et café - soluble - boite'];4.35;['ricore au lait - chicorée et café - soluble - boite'];4.35;['ricore au lait - chicorée et café - soluble - boite'];5.67;['ricore au lait - chicorée et café - soluble - boite'];4.35;['ricore au lait - chicorée et café - soluble - boite'];4.35;['ricore au lait - chicorée et café - soluble - boite'];5.62;['ricore au lait - chicorée et café - soluble - boite']
Épicerie sucrée;Cafés et boissons chaudes;ricore cappucino - chicorée et café - soluble - bocal;243g ;;;;;;;;;;;3.99;['ricore cappucino - chicorée et café - soluble - bocal'];3.99;['ricore cappucino - chicorée et café - soluble - bocal'];;
Épicerie sucrée;Cafés et boissons chaudes;ricore noir intense - mélange café et chicorée;240g ;;;;;;;;;;;5.45;['ricore noir intense - mélange café et chicorée'];5.45;['ricore noir intense - mélange café et chicorée'];7.15;['ricore noir intense - mélange café et chicorée']
Épicerie sucrée;Cafés et boissons chaudes;ricore original - chicorée et café - soluble - boite;100g ;2.19;['ricore original - chicorée et café - soluble - boite'];2.19;['ricore original - chicorée et café - soluble - boite'];2.19;['ricore original - chicorée et café - soluble - boite'];2.19;['ricore original - chicorée et café - soluble - boite'];2.58;['ricore original - chicorée et café - soluble - boite'];2.19;['ricore original - chicorée et café - soluble - boite'];2.19;['ricore original - chicorée et café - soluble - boite'];2.65;['ricore original - chicorée et café - soluble - boite']
Épicerie sucrée;Cafés et boissons chaudes;ricore original - chicorée et café - soluble - boite;260g ;4.46;['ricore original - chicorée et café - soluble - boite'];4.46;['ricore original - chicorée et café - soluble - boite'];4.46;['ricore original - chicorée et café - soluble - boite'];4.46;['ricore original - chicorée et café - soluble - boite'];5.09;['ricore original - chicorée et café - soluble - boite'];4.46;['ricore original - chicorée et café - soluble - boite'];4.46;['ricore original - chicorée et café - soluble - boite'];5.18;['ricore original - chicorée et café - soluble - boite']
Épicerie sucrée;Cafés et boissons chaudes;ricore original - chicorée et café - soluble - sticks;60g ;;;;;;;;;;;2.05;['ricore original - chicorée et café - soluble - sticks'];2.05;['ricore original - chicorée et café - soluble - sticks'];;
Épicerie sucrée;Cafés et boissons chaudes;ricore original - ricorée - chicorée et café - soluble - recharge;180g ;2.98;['ricore original - ricorée - chicorée et café - soluble - recharge'];;;;;;;3.6;['ricore original - ricorée - chicorée et café - soluble - recharge'];2.98;['ricore original - ricorée - chicorée et café - soluble - recharge'];2.98;['ricore original - ricorée - chicorée et café - soluble - recharge'];3.5;['ricore original - ricorée - chicorée et café - soluble - recharge']
Épicerie sucrée;Cafés et boissons chaudes;romarin feuilles sachet 50gr;x 1;3.41;['romarin feuilles sachet 50gr'];3.41;['romarin feuilles sachet 50gr'];3.41;['romarin feuilles sachet 50gr'];3.41;['romarin feuilles sachet 50gr'];;;3.41;['romarin feuilles sachet 50gr'];3.41;['romarin feuilles sachet 50gr'];;
Épicerie sucrée;Cafés et boissons chaudes;rooibos - sélection panafricaine - 3x100 grammes;x 1;26.16;['rooibos - sélection panafricaine - 3x100 grammes'];26.16;['rooibos - sélection panafricaine - 3x100 grammes'];26.16;['rooibos - sélection panafricaine - 3x100 grammes'];26.16;['rooibos - sélection panafricaine - 3x100 grammes'];;;26.16;['rooibos - sélection panafricaine - 3x100 grammes'];26.16;['rooibos - sélection panafricaine - 3x100 grammes'];;
Épicerie sucrée;Cafés et boissons chaudes;rooibos bio d afrique du sud - coffret 100g;x 1;8.41;['rooibos bio d afrique du sud - coffret 100g'];8.41;['rooibos bio d afrique du sud - coffret 100g'];8.41;['rooibos bio d afrique du sud - coffret 100g'];8.41;['rooibos bio d afrique du sud - coffret 100g'];;;8.41;['rooibos bio d afrique du sud - coffret 100g'];8.41;['rooibos bio d afrique du sud - coffret 100g'];;
Épicerie sucrée;Cafés et boissons chaudes;sachets de café vert non torréfié et graines de cardamome;x 1;8.9;['sachets de café vert non torréfié et graines de cardamome'];8.9;['sachets de café vert non torréfié et graines de cardamome'];8.9;['sachets de café vert non torréfié et graines de cardamome'];8.9;['sachets de café vert non torréfié et graines de cardamome'];;;8.9;['sachets de café vert non torréfié et graines de cardamome'];8.9;['sachets de café vert non torréfié et graines de cardamome'];;
Épicerie sucrée;Cafés et boissons chaudes;salma 250g - café en grain décaféiné bio;0.25 KG ;11.77;['salma 250g - café en grain décaféiné bio'];11.77;['salma 250g - café en grain décaféiné bio'];11.77;['salma 250g - café en grain décaféiné bio'];11.77;['salma 250g - café en grain décaféiné bio'];;;11.77;['salma 250g - café en grain décaféiné bio'];11.77;['salma 250g - café en grain décaféiné bio'];;
Épicerie sucrée;Cafés et boissons chaudes;san marco bio - 10 capsules biodégradable - intense et rond - intensité 8 - café - biologique;50g ;;;;;;;;;;;2.74;['san marco bio - 10 capsules biodégradable - intense et rond - intensité 8 - café - biologique'];2.74;['san marco bio - 10 capsules biodégradable - intense et rond - intensité 8 - café - biologique'];;
Épicerie sucrée;Cafés et boissons chaudes;san marco bio - café moulu - pur arabica - intensité 6 - biologique;Café Moulu ;;;;;;;;;;;3.36;['san marco bio - café moulu - pur arabica - intensité 6 - biologique'];;;;
Épicerie sucrée;Cafés et boissons chaudes;san marco café - intensité 6 - biologique;2x250g ;;;;;;;;;;;6.79;['san marco café - intensité 6 - biologique'];;;;
Épicerie sucrée;Cafés et boissons chaudes;san marco pur arabica - café moulu - doux;Café Moulu ;5.99;['san marco pur arabica - café moulu - doux'];5.99;['san marco pur arabica - café moulu - doux'];5.99;['san marco pur arabica - café moulu - doux'];5.99;['san marco pur arabica - café moulu - doux'];7.38;['san marco pur arabica - café moulu - doux'];5.99;['san marco pur arabica - café moulu - doux'];5.99;['san marco pur arabica - café moulu - doux'];7.52;['san marco pur arabica - café moulu - doux']
Épicerie sucrée;Cafés et boissons chaudes;san marco pur arabica premium - café moulu - intensité 7;Café Moulu ;3.09;['san marco pur arabica premium - café moulu - intensité 7'];3.09;['san marco pur arabica premium - café moulu - intensité 7'];;;3.09;['san marco pur arabica premium - café moulu - intensité 7'];4.01;['san marco pur arabica premium - café moulu - intensité 7'];3.09;['san marco pur arabica premium - café moulu - intensité 7'];3.09;['san marco pur arabica premium - café moulu - intensité 7'];4.13;['san marco pur arabica premium - café moulu - intensité 7']
Épicerie sucrée;Cafés et boissons chaudes;sauge feuilles sachet 40gr;x 1;3.24;['sauge feuilles sachet 40gr'];3.24;['sauge feuilles sachet 40gr'];3.24;['sauge feuilles sachet 40gr'];3.24;['sauge feuilles sachet 40gr'];;;3.24;['sauge feuilles sachet 40gr'];3.24;['sauge feuilles sachet 40gr'];;
Épicerie sucrée;Cafés et boissons chaudes;segafredo bio - premium d'arôme - café en grains - pur arabica - intensité 7 - biologique;Café en Grains ;;;;;;;;;;;6.99;"[""segafredo bio - premium d'arôme - café en grains - pur arabica - intensité 7 - biologique""]";;;;
Épicerie sucrée;Cafés et boissons chaudes;segafredo bio - premium d'arôme - café moulu - pur arabica - intensité 7 - biologique;Café Moulu ;;;;;;;;;;;3.37;"[""segafredo bio - premium d'arôme - café moulu - pur arabica - intensité 7 - biologique""]";;;;
Épicerie sucrée;Cafés et boissons chaudes;segafredo espresso casa crema - café grain;1kg ;;;20.18;['segafredo espresso casa crema - café grain'];;;;;;;20.18;['segafredo espresso casa crema - café grain'];;;;
Épicerie sucrée;Cafés et boissons chaudes;segafredo expresso casa - café;2x250g ;;;;;;;;;;;5.86;['segafredo expresso casa - café'];;;;
Épicerie sucrée;Cafés et boissons chaudes;segafredo intermezzo - café en grains;Café en Grains ;7.17;['segafredo intermezzo - café en grains'];;;;;;;;;7.17;['segafredo intermezzo - café en grains'];7.17;['segafredo intermezzo - café en grains'];;
Épicerie sucrée;Cafés et boissons chaudes;segafredo intermezzo - café moulu;Café Moulu ;;;;;;;;;;;6.2;['segafredo intermezzo - café moulu'];;;;
Épicerie sucrée;Cafés et boissons chaudes;segafredo zanetti gluten sans cre'me caffes 1 liter;x 1;10.9;"[""segafredo zanetti gluten sans cre'me caffes 1 liter""]";10.9;"[""segafredo zanetti gluten sans cre'me caffes 1 liter""]";10.9;"[""segafredo zanetti gluten sans cre'me caffes 1 liter""]";10.9;"[""segafredo zanetti gluten sans cre'me caffes 1 liter""]";;;10.9;"[""segafredo zanetti gluten sans cre'me caffes 1 liter""]";10.9;"[""segafredo zanetti gluten sans cre'me caffes 1 liter""]";;
Épicerie sucrée;Cafés et boissons chaudes;segafredo zanetti segafredo zanetti 300 capsule my espresso intermezzo;x 1;104.9;['segafredo zanetti segafredo zanetti 300 capsule my espresso intermezzo'];104.9;['segafredo zanetti segafredo zanetti 300 capsule my espresso intermezzo'];104.9;['segafredo zanetti segafredo zanetti 300 capsule my espresso intermezzo'];104.9;['segafredo zanetti segafredo zanetti 300 capsule my espresso intermezzo'];;;104.9;['segafredo zanetti segafredo zanetti 300 capsule my espresso intermezzo'];104.9;['segafredo zanetti segafredo zanetti 300 capsule my espresso intermezzo'];;
Épicerie sucrée;Cafés et boissons chaudes;senseo brazil - 36 dosetttes;250;4.99;['senseo brazil - 36 dosetttes'];4.99;['senseo brazil - 36 dosetttes'];;;4.99;['senseo brazil - 36 dosetttes'];5.77;['senseo brazil - 36 dosetttes'];4.99;['senseo brazil - 36 dosetttes'];4.99;['senseo brazil - 36 dosetttes'];;
Épicerie sucrée;Cafés et boissons chaudes;senseo café - dosettes - doux;x40 ;4.57;['senseo café - dosettes - doux'];4.57;['senseo café - dosettes - doux'];4.57;['senseo café - dosettes - doux'];;;5.83;['senseo café - dosettes - doux'];4.57;['senseo café - dosettes - doux'];4.57;['senseo café - dosettes - doux'];5.94;['senseo café - dosettes - doux']
Épicerie sucrée;Cafés et boissons chaudes;senseo café - dosettes - doux;x54 ;;;;;;;;;7.69;['senseo café - dosettes - doux'];;;5.85;['senseo café - dosettes - doux'];7.87;['senseo café - dosettes - doux']
Épicerie sucrée;Cafés et boissons chaudes;senseo café - dosettes - extra corsé;x40 ;;;;;;;;;;;4.47;['senseo café - dosettes - extra corsé'];4.47;['senseo café - dosettes - extra corsé'];5.94;['senseo café - dosettes - extra corsé']
Épicerie sucrée;Cafés et boissons chaudes;senseo café classique en dosettes - x18;x 18;15.19;['senseo café classique en dosettes - x18'];15.19;['senseo café classique en dosettes - x18'];15.19;['senseo café classique en dosettes - x18'];15.19;['senseo café classique en dosettes - x18'];;;15.19;['senseo café classique en dosettes - x18'];15.19;['senseo café classique en dosettes - x18'];;
Épicerie sucrée;Cafés et boissons chaudes;senseo café dosette senseo - saveur caramel - x32;222g ;4.17;['senseo café dosette senseo - saveur caramel - x32'];4.17;['senseo café dosette senseo - saveur caramel - x32'];4.17;['senseo café dosette senseo - saveur caramel - x32'];4.17;['senseo café dosette senseo - saveur caramel - x32'];6.04;['senseo café dosette senseo - saveur caramel - x32'];4.17;['senseo café dosette senseo - saveur caramel - x32'];4.17;['senseo café dosette senseo - saveur caramel - x32'];6.33;['senseo café dosette senseo - saveur caramel - x32']
Épicerie sucrée;Cafés et boissons chaudes;senseo café dosette senseo - saveur vanille - x32;222g ;;;;;;;;;;;4.36;['senseo café dosette senseo - saveur vanille - x32'];;;;
Épicerie sucrée;Cafés et boissons chaudes;senseo café en capsules - espresso n7;x10 ;;;;;;;;;;;2.44;['senseo café en capsules - espresso n7'];2.44;['senseo café en capsules - espresso n7'];;
Épicerie sucrée;Cafés et boissons chaudes;senseo cappuccino;x 1;11.43;['senseo cappuccino'];11.43;['senseo cappuccino'];11.43;['senseo cappuccino'];11.43;['senseo cappuccino'];;;11.43;['senseo cappuccino'];11.43;['senseo cappuccino'];;
Épicerie sucrée;Cafés et boissons chaudes;senseo cappuccino - café - choco - dosettes;x8 ;;;;;;;;;;;2.31;['senseo cappuccino - café - choco - dosettes'];;;;
Épicerie sucrée;Cafés et boissons chaudes;senseo cappucino - 8 dosettes souples  - café;Dosettes Souples ;2.19;['senseo cappucino - 8 dosettes souples  - café'];2.19;['senseo cappucino - 8 dosettes souples  - café'];2.19;['senseo cappucino - 8 dosettes souples  - café'];;;2.92;['senseo cappucino - 8 dosettes souples  - café'];2.19;['senseo cappucino - 8 dosettes souples  - café'];2.19;['senseo cappucino - 8 dosettes souples  - café'];3.1;['senseo cappucino - 8 dosettes souples  - café']
Épicerie sucrée;Cafés et boissons chaudes;senseo classic - café - 32 dosettes - biologique;222g ;4.72;['senseo classic - café - 32 dosettes - biologique'];;;;;;;;;4.72;['senseo classic - café - 32 dosettes - biologique'];4.72;['senseo classic - café - 32 dosettes - biologique'];;
Épicerie sucrée;Cafés et boissons chaudes;senseo classique - 40 dosettes souples - equilibré - café;Dosettes Souples ;4.58;['senseo classique - 40 dosettes souples - equilibré - café'];4.58;['senseo classique - 40 dosettes souples - equilibré - café'];4.58;['senseo classique - 40 dosettes souples - equilibré - café'];4.58;['senseo classique - 40 dosettes souples - equilibré - café'];5.83;['senseo classique - 40 dosettes souples - equilibré - café'];4.58;['senseo classique - 40 dosettes souples - equilibré - café'];4.58;['senseo classique - 40 dosettes souples - equilibré - café'];6.05;['senseo classique - 40 dosettes souples - equilibré - café']
Épicerie sucrée;Cafés et boissons chaudes;senseo classique - café - dosettes souples - x60;Dosettes Souples ;7.69;['senseo classique - café - dosettes souples - x60'];7.69;['senseo classique - café - dosettes souples - x60'];7.69;['senseo classique - café - dosettes souples - x60'];7.69;['senseo classique - café - dosettes souples - x60'];8.04;['senseo classique - café - dosettes souples - x60'];7.69;['senseo classique - café - dosettes souples - x60'];7.69;['senseo classique - café - dosettes souples - x60'];;
Épicerie sucrée;Cafés et boissons chaudes;senseo classique - equilibré - 18 dosettes souples - café;Dosettes Souples ;2.18;['senseo classique - equilibré - 18 dosettes souples - café'];2.18;['senseo classique - equilibré - 18 dosettes souples - café'];2.18;['senseo classique - equilibré - 18 dosettes souples - café'];2.18;['senseo classique - equilibré - 18 dosettes souples - café'];2.92;['senseo classique - equilibré - 18 dosettes souples - café'];2.18;['senseo classique - equilibré - 18 dosettes souples - café'];2.18;['senseo classique - equilibré - 18 dosettes souples - café'];2.81;['senseo classique - equilibré - 18 dosettes souples - café']
Épicerie sucrée;Cafés et boissons chaudes;senseo classique - equilibré - 54 dosettes souples  - café;Dosettes Souples ;;;5.85;['senseo classique - equilibré - 54 dosettes souples  - café'];5.85;['senseo classique - equilibré - 54 dosettes souples  - café'];;;7.69;['senseo classique - equilibré - 54 dosettes souples  - café'];5.85;['senseo classique - equilibré - 54 dosettes souples  - café'];5.85;['senseo classique - equilibré - 54 dosettes souples  - café'];7.54;['senseo classique - equilibré - 54 dosettes souples  - café']
Épicerie sucrée;Cafés et boissons chaudes;senseo colombia - 36 dosettes;250;;;;;;;;;;;5.18;['senseo colombia - 36 dosettes'];;;;
Épicerie sucrée;Cafés et boissons chaudes;senseo corsé - 54 dosettes souples - format familial - café;Dosettes Souples ;;;5.87;['senseo corsé - 54 dosettes souples - format familial - café'];5.87;['senseo corsé - 54 dosettes souples - format familial - café'];;;7.69;['senseo corsé - 54 dosettes souples - format familial - café'];;;5.87;['senseo corsé - 54 dosettes souples - format familial - café'];7.98;['senseo corsé - 54 dosettes souples - format familial - café']
