categorie;type;nom;poids;prix_par_kg;prix;promo
Légumes;null; Poireaux coupés - Cat. 1;De 800g à 1kg (4,49€/KG);4,49€;non
Légumes;null; Poivron jaune - Cat. 1;De 800g à 1kg (5,49€/KG);5,49€;non
Légumes;null; Poivron tricolore - Cat. 1;500g (6,98€/KG);3,49€;non
Légumes;null; Poivron rouge - Cat. 1;De 800g à 1kg (3,99€/KG);3,99€;non
Légumes;null; Poivron Vert - Cat. 1;De 800g à 1kg (4,99€/KG);4,99€;non
Légumes;null; Patates douces - Cat. 1;De 800g à 1kg (2,79€/KG);2,79€;non
Légumes;null; Haricot vert ébouté - Cat. 2;500g (11,98€/KG);5,99€;non
Légumes;null; Haricots verts très fins - Cat. 1;De 400g à 500g (6€/KG);3€;non
Légumes;null; Artichaut blanc - Variété cardinal - Cat. 1;La pièce;1,29€;non
Légumes;null; Artichaut violet - Cat.1;x4;4,99€;non
Légumes;null; Asperge Verte - Cat. 1;500g (11,98€/KG);5,99€;non
Légumes;null; Asperges vertes - Cat.1;500g (25,98€/KG);12,99€;non
Légumes;null; Asperges violettes - Cat. 1;500g (11,98€/KG);5,99€;non
Légumes;null; Avocat Hass - Pré-mûris - Cat. 1;La pièce;1,69€;non
Légumes;null; Avocats - Murs à Point - Cat. 1;x2;4,49€;non
Légumes;null; Betterave - x2 - Cat. 1;1kg (1,69€/KG);1,69€;non
Légumes;null; Betterave cuite - Cat.1 - Sans résidu de pesticides;500g (1,98€/KG);0,99€;non
Légumes;null;KULTIVE Betterave cuite - Sans résidu de pesticides - Cat. 2;500g (2,78€/KG);1,39€;non
Légumes;null; Betteraves cuites - Cat.1;225g (4,40€/KG);0,99€;non
Légumes;null; Cèleri rave - Cat. 1;La pièce;2,39€;non
Légumes;null; Cèleri vert en branche - Cat. 1;De 800g à 1kg (2,99€/KG);2,99€;non
Légumes;null; Concombre - Cat. 1;La pièce;1,69€;non
Légumes;null;CASINO Concombre - Sans résidu de pesticides - Cat. 1;La pièce;1,89€;non
Légumes;null; Concombre Noa - Cat. 1;La pièce;1,29€;non
Légumes;null; Radis noir - Cat.1;La pièce;2€;non
Légumes;null; Radis botte - Cat. 1;La pièce;1,69€;non
Légumes;null;FLEURON D'ANJOU Radis rose équeuté- Cat. 1;200g (5,95€/KG);1,19€;non
Légumes;null; Salade cresson - Cat. 1;150g (13,27€/KG);1,99€;non
Légumes;null; Salade - Scarole - Cat. 1;La pièce;2,99€;non
Légumes;null; Salade frisée - Cat. 1;La pièce;2,99€;non
Légumes;null; Endives - Cat. 1;500g (3,38€/KG);1,69€;non
Légumes;null; Endives - Cat. 1;1kg (1,79€/KG);1,79€;non
Légumes;null; Endives - Cat. 1;De 800g à 1kg (2,49€/KG);2,49€;non
Légumes;null;PERLE DU NORD Endives de pleine terre - Cat. 1;La pièce;3,49€;non
Légumes;null; Endives jeunes pousses - Cat. 1;x6;2,99€;non
Légumes;null; Salade Carmine - Cat. 1;300g (11,63€/KG);3,49€;non
Légumes;null; Jeunes pousses d'épinard;100g (9,90€/KG);0,99€;non
Légumes;null;PRIMEALE Jeunes pousses roquette - Cat. 1;125g (11,92€/KG);1,49€;non
Légumes;null; Salade jeunes pousses mélange - Cat. 1;100g (9,90€/KG);0,99€;non
Légumes;null; Salade mâche - Cat. 1;125g (7,92€/KG);0,99€;non
Légumes;null; Salade - Variété Laitue - Cat. 1;La pièce;1,29€;non
Légumes;null; Salade Batavia - Cat. 1;La pièce;1,29€;non
Légumes;null; Salade cœur de laitue - Cat. 1;La pièce;0,99€;non
Légumes;null; Salade coeur de romaine - Cat.1;x2;2,49€;non
Légumes;null; Salade Feuille de chêne blonde - Cat. 1;La pièce;1,29€;non
Légumes;null; Salade feuille de chêne brune - Cat. 1;La pièce;1,29€;non
Légumes;null; Salade laitue - Variété Iceberg - Cat. 1;La pièce;0,99€;non
Légumes;null; Salade Sucrine - Cat. 1;x3;0,99€;non
Légumes;null; Salade Sucrine - Cat. 1;x3;1,79€;non
Légumes;null; Tomate allongée - Cat. 1;De 800g à 1kg (4,99€/KG);4,99€;non
Légumes;null; Tomates allongées - Sans résidu de pesticides - Cat.1;600g (8,32€/KG);4,99€;non
Légumes;null; Tomate Côtelée Aumonière - Cat. 2;De 800g à 1kg (5,99€/KG);5,99€;non
Légumes;null; Tomate côtelée noire de Crimée - Cat. 2;De 800g à 1kg (5,99€/KG);5,99€;non
Légumes;null; Tomate saveur d'antan - Cat. 2;750g (7,99€/KG);5,99€;non
Légumes;null; Tomate cerise méli mélo - Cat. 1;1kg (6,99€/KG);6,99€;non
Légumes;null; Tomates cerises - Cat. 1;250g (3,96€/KG);0,99€;non
Légumes;null; Tomates cerises allongées - Cat. 1;250g (3,96€/KG);0,99€;non
Légumes;null; Tomates cerises allongées - Sans résidu de pesticides - Cat. 1;250g (13,96€/KG);3,49€;non
Légumes;null;SAVEOL Tomates cerises méli mélo - Sans résidu de pesticides - Cat. 1;350g (12,83€/KG);4,49€;non
Légumes;null; Tomates cerises rondes - Sans résidu de pesticides - Cat. 1;250g (13,96€/KG);3,49€;non
Légumes;null; Tomates cerises rouges allongées - Cat. 1;De 800g à 1kg (8,49€/KG);8,49€;non
Légumes;null;CASINO Tomate cocktail grappe - Sans résidu de pesticides - Cat. 1;500g (9,58€/KG);4,79€;non
Légumes;null; Tomates cocktail grappe - Cat. 1;De 800g à 1kg (7,99€/KG);7,99€;non
Légumes;null; Tomate ronde - Variété Grappe - Cat. 1;De 800g à 1kg (2,79€/KG);2,79€;non
Légumes;null; Tomate ronde grappe jaune - Cat.1;De 800g à 1kg (4,99€/KG);4,99€;non
Légumes;null; Tomates ronde - Cat. 1;De 800g à 1kg (4,49€/KG);4,49€;non
Légumes;null; Tomates rondes charnues - Cat. 1;De 800g à 1kg (5,99€/KG);5,99€;non
Légumes;null;LUNOR Légumes vapeur - Betteraves en cubes;500g (2,90€/KG);1,45€;non
Légumes;null;LUNOR Légumes vapeur - Carottes en rondelles;500g (2,90€/KG);1,45€;non
Légumes;null;LUNOR Légumes vapeur - Lentilles;500g (3,18€/KG);1,59€;non
Légumes;null;LUNOR Légumes vapeur -Mais en épi;400g (5,88€/KG);2,35€;non
Légumes;null;CHAMSYL Cèpes;60g (133,17€/KG);7,99€;non
Légumes;null;CHAMSYL Morilles extra;35g (570€/KG);19,95€;non
Légumes;null;LUNOR Brut du potager - Pommes de terre en robes des champs;750g (3,53€/KG);2,65€;non
Légumes;null;LUNOR Légumes vapeur - Pommes de terre en lamelles;500g (3,18€/KG);1,59€;non
Légumes;null;LUNOR Pom prête - Pommes de terre sous vide;1kg (2,39€/KG);2,39€;non
Légumes;null;LUNOR Pomme de terre entière sans peau;370g (7,81€/KG);2,89€;non
Légumes;null;LUNOR Pommes de terre entières;2x500g (2,89€/KG);2,89€;non
Légumes;null;LUNOR Pommes de terre rondes;500g (3,18€/KG);1,59€;non
Légumes;null;FLORETTE Crudités mélangées;250g (6,76€/KG);1,69€;non
Légumes;null;FLORETTE Baby Carottes - Prêtes à croquer;250g (8,76€/KG);2,19€;non
Légumes;null;FLORETTE Plateau apéro;600g (9,82€/KG);5,89€;non
Légumes;null;FLORETTE Radis;200g (11,95€/KG);2,39€;non
Légumes;null;CROC' FRAIS Olives dénoyautées à l'italienne;200g (13,45€/KG);2,69€;non
Légumes;null;CROC' FRAIS Olives dénoyautées aux herbes;500g (7,98€/KG);3,99€;non
Légumes;null;CROC' FRAIS Olives dénoyautées de Grèce - A l'ail des ours;150g (17,93€/KG);2,69€;non
Légumes;null;CROC' FRAIS Olives dénoyautées de Grèce - Aux deux piments jalapeno;150g (17,93€/KG);2,69€;non
Légumes;null;CROC' FRAIS Olives dénoyautées de Grèce - Aux zestes de citron & persil;200g (13,45€/KG);2,69€;non
Légumes;null;CROC' FRAIS Olives dénoyautées façon Grèce - Ail & herbes de provence;180g (14,94€/KG);2,69€;non
Légumes;null;CROC' FRAIS Olives dénoyautées méditerranéenne - Poivrons, ail & herbes;200g (13,45€/KG);2,69€;non
Légumes;null;CROC' FRAIS Olives entières à la provençale;550g (7,98€/KG);3,99€;non
Légumes;null;CROC' FRAIS Olives entières à la toscane;250g (10,76€/KG);2,69€;non
Légumes;null;CROC' FRAIS Olives vertes dénoyautées à l'ail;120g (21,58€/KG);2,59€;non
Légumes;null;CROC' FRAIS Olives vertes dénoyautées à l'italienne - Biologique;120g (21,58€/KG);2,59€;non
Légumes;null;CROC' FRAIS Olives vertes dénoyautées à l'oriental - Biologique;120g (21,58€/KG);2,59€;non
Légumes;null;CROC' FRAIS Olives vertes dénoyautées ciboulette;150g (17,93€/KG);2,69€;non
Légumes;null;CROC' FRAIS Olives vertes dénoyautées thym citron;150g (17,93€/KG);2,69€;non
Légumes;null;CASINO Batavia;200g (8,45€/KG);1,69€;non
Légumes;null;LES CRUDETTES Cœur de Frisée;200g (10,95€/KG);2,19€;non
Légumes;null;FLORETTE Coeur de frisée - Portion individuelle;70g (15,57€/KG);1,09€;non
Légumes;null;CASINO Coeur de laitue;70g (12,71€/KG);0,89€;non
