categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits et légumes;Légumes; Tomates rondes - Cat. 1;De 800g à 1kg ;5,49€/KG;5,49€;non
Fruits et légumes;Légumes; Tomates rondes charnues - Cat. 1;De 800g à 1kg ;5,99€/KG;5,99€;non
Fruits et légumes;Légumes;CASINO Coeur de laitue;200g ;7,25€/KG;1,45€;non
Fruits et légumes;Légumes;CASINO Coeur de laitue;320g ;6,22€/KG;1,99€;non
Fruits et légumes;Légumes;CASINO Feuille de chêne blonde;125g ;10,80€/KG;1,35€;non
Fruits et légumes;Légumes;CASINO Frisée 100% cœur;200g ;8,45€/KG;1,69€;non
Fruits et légumes;Légumes;CASINO Laitue Iceberg craquante;300g ;3,97€/KG;1,19€;non
Fruits et légumes;Légumes;CASINO Mâche;125g ;11,12€/KG;1,39€;non
Fruits et légumes;Légumes;FLORETTE Maxi mâche;200g ;11,95€/KG;2,39€;non
Fruits et légumes;Légumes;CASINO Roquette;100g ;13,50€/KG;1,35€;non
Fruits et légumes;Légumes;CASINO Mélange Tendre;150g ;12,33€/KG;1,85€;non
Fruits et légumes;Légumes;CROC' FRAIS Olives dénoyautées à la méditerranéenne;500g ;7,98€/KG;3,99€;non
Fruits et légumes;Légumes;TOUS LES JOURS Salade mélangé;300g ;3,97€/KG;1,19€;non
Fruits et légumes;Légumes;CASINO Salades aux 4 saveurs;200g ;7,75€/KG;1,55€;non
Fruits et légumes;Légumes;CASINO Salades aux 4 saveurs;320g ;7,16€/KG;2,29€;non
Fruits et légumes;Légumes;CASINO BIO Carotte - Cat. 2 - Biologique;1kg ;2,29€/KG;2,29€;non
Fruits et légumes;Légumes;LA CONQUETE DES SAVEURS Cumin moulue;50g ;33,80€/KG;1,69€;non
Fruits et légumes;Légumes; Mélange épice pour paella;55g ;31,82€/KG;1,75€;non
Fruits et légumes;Légumes;LA CONQUETE DES SAVEURS Mélange épice tandoori;75g ;26,53€/KG;1,99€;non
Fruits et légumes;Légumes;LES HERBES DU PERUSSIER Basilic frais - Cat. 1;15g ;66€/KG;0,99€;non
Fruits et légumes;Légumes;LES HERBES DU PERUSSIER Ciboulette fraîche - Cat. 1;15g ;66€/KG;0,99€;non
Fruits et légumes;Légumes;LES HERBES DU PERUSSIER Menthe fraîche - Cat. 1;15g ;66€/KG;0,99€;non
Fruits et légumes;Légumes; Menthe fraîche en pot - Sans résidu de pesticides - Cat. 1;La pièce;3€;3€;non
Fruits et légumes;Légumes; Persil frisé - Botte - Cat. 1;La pièce;1,49€;1,49€;non
Fruits et légumes;Légumes; Persil plat - Botte - Cat. 1;La pièce;1,49€;1,49€;non
