categorie;type;nom;poids;prix_par_kg;prix;promo
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO L'Or - Espresso - Decaffeinato - 16 Dosettes Rigides - Café;Dosettes Rigides ;35,94€/KG;3,82€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO L'Or - Espresso - Delizioso - 16 Dosettes Rigides - Intensité 5 - Café;Dosettes Rigides ;36,35€/KG;3,78€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO L'Or - Espresso - Splendente - 16 Dosettes Rigides - Intensité 7 - Café;Dosettes Rigides ;33,75€/KG;3,73€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO L'Or - Long - Classique - Intensité 4 - 24 Dosettes Rigides  - Café;Dosettes Rigides ;35,45€/KG;5,25€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO L'Or - Long - Doux - 8 Dosettes Rigides  - Café;Dosettes Rigides ;44,83€/KG;3,99€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO L'Or - Petit Déjeuner - Classique - 24 Dosettes Rigides - Format Famille - Café;Dosettes Rigides ;28,34€/KG;5,67€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO L'Or -Café Long - Intense - 16 Dosettes Rigides;Dosettes Rigides ;28,67€/KG;3,64€;non
Épicerie sucrée;Cafés et boissons chaudes;MALONGO L'Original - Pur Arabica - 16 Dosettes Fibres Naturelles - Maxi Format;104g ;37,88€/KG;3,99€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Lungo - 10 Capsules Plastique - Intensité 7 - Café;Capsules Plastique ;41,73€/KG;2,17€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE DOLCE GUSTO Lungo - 16 capsules - Intensité 6 - Café;x16 ;35,48€/KG;3,73€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Lungo - 16 Capsules Plastique - Intensité 5  - Café;Capsules Plastique ;29,29€/KG;3,31€;non
Épicerie sucrée;Cafés et boissons chaudes;CAFE ROYAL Lungo - 36 Capsules Aluminium - Intensité 4 - Café;Capsules Aluminium ;40,89€/KG;7,77€;non
Épicerie sucrée;Cafés et boissons chaudes;CAFE ROYAL Lungo - Café - 18 capsules - Intensité 4;x18 ;43,37€/KG;4,15€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Lungo - Café - Capsules - x44 - Intensité 7;230g ;30,39€/KG;6,99€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE DOLCE GUSTO Lungo - Decaffeinato - Arabica - 16 Capsules - Intensité 6 - Café;x16 ;32,50€/KG;3,82€;non
Épicerie sucrée;Cafés et boissons chaudes;L'OR Lungo profondo - Café - 40 capsules;208g ;52,84€/KG;10,99€;non
