categorie;type;nom;poids;prix_par_kg;prix;promo
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE Nes - Sans Amertume - Café Soluble - Sticks;Café Soluble ;44€/KG;2,20€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Qualité Filtre - Café Soluble;Café Soluble ;25€/KG;2,50€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Qualité Filtre - Café Soluble;Café Soluble ;17€/KG;3,40€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Qualité Filtre - Café Soluble;Café Soluble ;21,67€/KG;3,90€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Qualité Filtre - Café Soluble;Café Soluble ;23,75€/KG;4,75€;non
Épicerie sucrée;Cafés et boissons chaudes;MAXWELL HOUSE Qualité Filtre - Café Soluble - Bocal;Café Soluble ;38,90€/KG;3,89€;non
Épicerie sucrée;Cafés et boissons chaudes;MAXWELL HOUSE Qualité Filtre - Café Soluble - Bocal;Café Soluble ;27,75€/KG;5,55€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Qualité Filtre - Café Soluble - Sticks;Café Soluble ;42€/KG;2,10€;non
Épicerie sucrée;Cafés et boissons chaudes;MAXWELL HOUSE Qualité Filtre - Café Soluble - Sticks;Café Soluble ;50€/KG;2,25€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE Selection - Café Soluble - Corsé - Bocal;Café Soluble ;29,60€/KG;5,92€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE Selection - Café Soluble - Corsé et Intense - Bocal;Café Soluble ;40,50€/KG;4,05€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE Spécial Filtre - Café Soluble - Bocal;Café Soluble ;41,70€/KG;4,17€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE Spécial Filtre - Café Soluble - Bocal;Café Soluble ;32,70€/KG;6,54€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE Spécial Filtre - Recharge - Café Soluble;Café Soluble ;35,27€/KG;5,29€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO DELICES Cacao en poudre : 100% cacao;250g ;9,60€/KG;2,40€;non
Épicerie sucrée;Cafés et boissons chaudes;VAN HOUTEN Cacao pour pâtisseries et chocolats chauds - Non sucré;245g ;10,82€/KG;2,65€;non
Épicerie sucrée;Cafés et boissons chaudes;NESTLE Dessert - Poudre de cacao - Brute non sucrée;250g ;11,80€/KG;2,95€;non
Épicerie sucrée;Cafés et boissons chaudes;LES DOODINGUES Granulés cacaotés instantanés;800g ;4,13€/KG;3,30€;non
Épicerie sucrée;Cafés et boissons chaudes;LES DOODINGUES Granulés cacaotés instantanés;400g ;4,38€/KG;1,75€;non
Épicerie sucrée;Cafés et boissons chaudes;LEADER PRICE Poudre chocolat instantanée;400g ;3,08€/KG;1,23€;non
Épicerie sucrée;Cafés et boissons chaudes;OVOMALTINE Préparation petit-déjeuner;400g ;10,35€/KG;4,14€;non
Épicerie sucrée;Cafés et boissons chaudes;NESTLE Tonimalt - Cacao;450g ;8,87€/KG;3,99€;non
Épicerie sucrée;Cafés et boissons chaudes;POULAIN Cacao - Super poulain - 4 vitamines;1kg ;3,96€/KG;3,96€;non
Épicerie sucrée;Cafés et boissons chaudes;POULAIN Chocolat en poudre - 34% de cacaco - Biologique;350g ;9,40€/KG;3,29€;non
